0,1,2,3,4,5,6,7
中级JAVA开发工程师,          安徽瑞信软件有限公司        ,1万-1.5万·14薪,后端开发|Java|全栈开发|民营|100-299人|计算机软件,芜湖·镜湖区·天门山街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CC622175020J40478013215.htm
中级Java开发工程师,          江苏中安联科信息技术有限公司        ,8千-1.3万,Hibernate|MyBatis|jQuery|Spring|股份制企业|20-99人|IT服务,常州·武进·湖塘,3-5年,本科,http://www.zhaopin.com/jobdetail/CC399000030J40121897008.htm
Java开发工程师(东华医为-泰安),          东华软件股份公司        ,1万-2万,Java|HIS|后端|上市公司|1000-9999人|计算机软件,泰安·岱岳区·北集坡街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40540530307.htm
Java开发工程师-协同系统,          东华医为科技有限公司        ,1万-1.8万,移动端|JavaScript|CSS|Java|Spring|MySQL|Oracle|SQLServer|民营|1000-9999人|IT服务,马鞍山·花山区·霍里街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CC649781480J40512821705.htm
java开发工程师（工业物联网平台）A05,          北京东方鼎晨科技有限公司        ,1万-1.8万·14薪,民营|100-299人|仪器仪表制造,北京·昌平·回龙观,3-5年,本科,http://www.zhaopin.com/jobdetail/CC120633410J40635909909.htm
java开发工程师（银行项目）,          东华软件股份公司        ,9千-1.4万,JavaScript|SPRINGCLOUD|Mybatis|Oracle|Redis|FLOWABLE|Kafka|上市公司|1000-9999人|计算机软件,青岛·市北·敦化路,1-3年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40679696207.htm
Java开发工程师,          东华医为科技有限公司        ,7千-1.2万·13薪,Spring|Mybatis|Redis|PostgreSQL|Oracle|民营|1000-9999人|IT服务,西安·雁塔·鱼化寨,1-3年,本科,http://www.zhaopin.com/jobdetail/CC649781480J40551954505.htm
java开发工程师（工业物联网平台）A05-郑州,          北京东方鼎晨科技有限公司        ,1万-1.5万·14薪,民营|100-299人|仪器仪表制造,郑州·管城·北下街,3-5年,本科,http://www.zhaopin.com/jobdetail/CC120633410J40635910409.htm
Java开发工程师,          东华软件股份公司        ,面议,后端开发|上市公司|1000-9999人|计算机软件,泰安·岱岳区·北集坡街道,1-3年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40283395607.htm
java开发工程师,          东华医为科技有限公司        ,7千-1.2万,Spring|SpringBoot|SpringMVC|Vue|全栈开发|民营|1000-9999人|IT服务,天津·西青·西营门,1-3年,本科,http://www.zhaopin.com/jobdetail/CC649781480J40460244505.htm
Java开发工程师-数字科技研究院(J10593),          北京市建筑设计研究院股份有限公司        ,面议,Spring|MySQL|Mybatis|Oracle|MongoDB|国企|1000-9999人|建筑设计,北京·西城·月坛,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000429130J40525537313.htm
银行信贷Java开发工程师,          东华软件股份公司        ,6千-1.2万,Vue|SpringBoot|SpringCloud|Spring|后端开发|金融项目|银行信贷项目|上市公司|1000-9999人|计算机软件,泰安·岱岳区·北集坡街道,经验不限,本科,http://www.zhaopin.com/jobdetail/CC193399810J40482347007.htm
高级Java开发工程师,          爱谱华顿        ,7千-1.3万,SpringBoot|后端开发|SpringCloud|Spark|Hbase|Hive|Java|JavaScript|合资|1000-9999人|电子/半导体/集成电路,阜阳·颍州区·清河街道,3-5年,大专,http://www.zhaopin.com/jobdetail/CC131100140J40418643012.htm
Java开发工程师,          东华医为科技有限公司        ,7千-1.2万·13薪,Redis|PostgreSQL|Oracle|Spring|Mybatis|民营|1000-9999人|IT服务,济南·历城·港沟,1-3年,本科,http://www.zhaopin.com/jobdetail/CC649781480J40659791905.htm
